"","season_start_year","forecast_date","target","location","target_end_date","forecast_type","type","quantile","value"
"1",2023,2023-10-21,"0 wk ahead","Alaska",2023-10-21,"composite_curve","quantile",0.01,0
"2",2023,2023-10-21,"0 wk ahead","Arizona",2023-10-21,"composite_curve","quantile",0.01,0.99
"3",2023,2023-10-21,"1 wk ahead","Alaska",2023-10-28,"composite_curve","quantile",0.01,0
"4",2023,2023-10-21,"1 wk ahead","Arizona",2023-10-28,"composite_curve","quantile",0.01,4.98
"5",2023,2023-10-21,"1 wk behind","Alaska",2023-10-14,"composite_curve","quantile",0.01,0
"6",2023,2023-10-21,"1 wk behind","Arizona",2023-10-14,"composite_curve","quantile",0.01,0
"7",2023,2023-10-21,"10 wk ahead","Alaska",2023-12-30,"composite_curve","quantile",0.01,0
"8",2023,2023-10-21,"10 wk ahead","Arizona",2023-12-30,"composite_curve","quantile",0.01,76.28
"9",2023,2023-10-21,"10 wk behind","Alaska",2023-08-12,"composite_curve","quantile",0.01,0
"10",2023,2023-10-21,"10 wk behind","Arizona",2023-08-12,"composite_curve","quantile",0.01,0.95
"11",2023,2023-10-21,"11 wk ahead","Alaska",2024-01-06,"composite_curve","quantile",0.01,0
"12",2023,2023-10-21,"11 wk ahead","Arizona",2024-01-06,"composite_curve","quantile",0.01,57.47
"13",2023,2023-10-21,"11 wk behind","Alaska",2023-08-05,"composite_curve","quantile",0.01,0
"14",2023,2023-10-21,"11 wk behind","Arizona",2023-08-05,"composite_curve","quantile",0.01,0.95
"15",2023,2023-10-21,"12 wk ahead","Alaska",2024-01-13,"composite_curve","quantile",0.01,0
"16",2023,2023-10-21,"12 wk ahead","Arizona",2024-01-13,"composite_curve","quantile",0.01,36.68
"17",2023,2023-10-21,"12 wk behind","Alaska",2023-07-29,"composite_curve","quantile",0.01,0
"18",2023,2023-10-21,"12 wk behind","Arizona",2023-07-29,"composite_curve","quantile",0.01,0
"19",2023,2023-10-21,"13 wk ahead","Alaska",2024-01-20,"composite_curve","quantile",0.01,0
"20",2023,2023-10-21,"13 wk ahead","Arizona",2024-01-20,"composite_curve","quantile",0.01,19.85
"21",2023,2023-10-21,"13 wk behind","Alaska",2023-07-22,"composite_curve","quantile",0.01,0
"22",2023,2023-10-21,"13 wk behind","Arizona",2023-07-22,"composite_curve","quantile",0.01,0
"23",2023,2023-10-21,"14 wk ahead","Alaska",2024-01-27,"composite_curve","quantile",0.01,0
"24",2023,2023-10-21,"14 wk ahead","Arizona",2024-01-27,"composite_curve","quantile",0.01,9.95
"25",2023,2023-10-21,"14 wk behind","Alaska",2023-07-15,"composite_curve","quantile",0.01,0
"26",2023,2023-10-21,"14 wk behind","Arizona",2023-07-15,"composite_curve","quantile",0.01,0
"27",2023,2023-10-21,"15 wk ahead","Alaska",2024-02-03,"composite_curve","quantile",0.01,0
"28",2023,2023-10-21,"15 wk ahead","Arizona",2024-02-03,"composite_curve","quantile",0.01,5.99
"29",2023,2023-10-21,"15 wk behind","Alaska",2023-07-08,"composite_curve","quantile",0.01,0
"30",2023,2023-10-21,"15 wk behind","Arizona",2023-07-08,"composite_curve","quantile",0.01,2.91
"31",2023,2023-10-21,"16 wk ahead","Alaska",2024-02-10,"composite_curve","quantile",0.01,0
"32",2023,2023-10-21,"16 wk ahead","Arizona",2024-02-10,"composite_curve","quantile",0.01,3.98
"33",2023,2023-10-21,"16 wk behind","Alaska",2023-07-01,"composite_curve","quantile",0.01,0
"34",2023,2023-10-21,"16 wk behind","Arizona",2023-07-01,"composite_curve","quantile",0.01,0.98
"35",2023,2023-10-21,"17 wk ahead","Alaska",2024-02-17,"composite_curve","quantile",0.01,0
"36",2023,2023-10-21,"17 wk ahead","Arizona",2024-02-17,"composite_curve","quantile",0.01,2.98
"37",2023,2023-10-21,"17 wk behind","Alaska",2023-06-24,"composite_curve","quantile",0.01,0
"38",2023,2023-10-21,"17 wk behind","Arizona",2023-06-24,"composite_curve","quantile",0.01,0.98
"39",2023,2023-10-21,"18 wk ahead","Alaska",2024-02-24,"composite_curve","quantile",0.01,0
"40",2023,2023-10-21,"18 wk ahead","Arizona",2024-02-24,"composite_curve","quantile",0.01,1.98
"41",2023,2023-10-21,"18 wk behind","Alaska",2023-06-17,"composite_curve","quantile",0.01,0
"42",2023,2023-10-21,"18 wk behind","Arizona",2023-06-17,"composite_curve","quantile",0.01,1.98
"43",2023,2023-10-21,"19 wk ahead","Alaska",2024-03-02,"composite_curve","quantile",0.01,0
"44",2023,2023-10-21,"19 wk ahead","Arizona",2024-03-02,"composite_curve","quantile",0.01,1.98
"45",2023,2023-10-21,"19 wk behind","Alaska",2023-06-10,"composite_curve","quantile",0.01,0
"46",2023,2023-10-21,"19 wk behind","Arizona",2023-06-10,"composite_curve","quantile",0.01,1.98
"47",2023,2023-10-21,"2 wk ahead","Alaska",2023-11-04,"composite_curve","quantile",0.01,0
"48",2023,2023-10-21,"2 wk ahead","Arizona",2023-11-04,"composite_curve","quantile",0.01,7.97
"49",2023,2023-10-21,"2 wk behind","Alaska",2023-10-07,"composite_curve","quantile",0.01,0
"50",2023,2023-10-21,"2 wk behind","Arizona",2023-10-07,"composite_curve","quantile",0.01,0
"51",2023,2023-10-21,"20 wk ahead","Alaska",2024-03-09,"composite_curve","quantile",0.01,0
"52",2023,2023-10-21,"20 wk ahead","Arizona",2024-03-09,"composite_curve","quantile",0.01,0.99
"53",2023,2023-10-21,"20 wk behind","Alaska",2023-06-03,"composite_curve","quantile",0.01,0
"54",2023,2023-10-21,"20 wk behind","Arizona",2023-06-03,"composite_curve","quantile",0.01,2.99
"55",2023,2023-10-21,"21 wk ahead","Alaska",2024-03-16,"composite_curve","quantile",0.01,0
"56",2023,2023-10-21,"21 wk ahead","Arizona",2024-03-16,"composite_curve","quantile",0.01,0.99
"57",2023,2023-10-21,"21 wk behind","Alaska",2023-05-27,"composite_curve","quantile",0.01,0
"58",2023,2023-10-21,"21 wk behind","Arizona",2023-05-27,"composite_curve","quantile",0.01,5
"59",2023,2023-10-21,"22 wk ahead","Alaska",2024-03-23,"composite_curve","quantile",0.01,0
"60",2023,2023-10-21,"22 wk ahead","Arizona",2024-03-23,"composite_curve","quantile",0.01,0.99
"61",2023,2023-10-21,"22 wk behind","Alaska",2023-05-20,"composite_curve","quantile",0.01,0
"62",2023,2023-10-21,"22 wk behind","Arizona",2023-05-20,"composite_curve","quantile",0.01,5.99
"63",2023,2023-10-21,"23 wk ahead","Alaska",2024-03-30,"composite_curve","quantile",0.01,0
"64",2023,2023-10-21,"23 wk ahead","Arizona",2024-03-30,"composite_curve","quantile",0.01,1.98
"65",2023,2023-10-21,"23 wk behind","Alaska",2023-05-13,"composite_curve","quantile",0.01,0
"66",2023,2023-10-21,"23 wk behind","Arizona",2023-05-13,"composite_curve","quantile",0.01,6.98
"67",2023,2023-10-21,"24 wk ahead","Alaska",2024-04-06,"composite_curve","quantile",0.01,0
"68",2023,2023-10-21,"24 wk ahead","Arizona",2024-04-06,"composite_curve","quantile",0.01,0.98
"69",2023,2023-10-21,"24 wk behind","Alaska",2023-05-06,"composite_curve","quantile",0.01,0
"70",2023,2023-10-21,"24 wk behind","Arizona",2023-05-06,"composite_curve","quantile",0.01,7.97
"71",2023,2023-10-21,"25 wk ahead","Alaska",2024-04-13,"composite_curve","quantile",0.01,0
"72",2023,2023-10-21,"25 wk ahead","Arizona",2024-04-13,"composite_curve","quantile",0.01,0.98
"73",2023,2023-10-21,"25 wk behind","Alaska",2023-04-29,"composite_curve","quantile",0.01,0
"74",2023,2023-10-21,"25 wk behind","Arizona",2023-04-29,"composite_curve","quantile",0.01,7.97
"75",2023,2023-10-21,"26 wk ahead","Alaska",2024-04-20,"composite_curve","quantile",0.01,0
"76",2023,2023-10-21,"26 wk ahead","Arizona",2024-04-20,"composite_curve","quantile",0.01,0.98
"77",2023,2023-10-21,"26 wk behind","Alaska",2023-04-22,"composite_curve","quantile",0.01,0
"78",2023,2023-10-21,"26 wk behind","Arizona",2023-04-22,"composite_curve","quantile",0.01,7.97
"79",2023,2023-10-21,"27 wk ahead","Alaska",2024-04-27,"composite_curve","quantile",0.01,0
"80",2023,2023-10-21,"27 wk ahead","Arizona",2024-04-27,"composite_curve","quantile",0.01,0.98
"81",2023,2023-10-21,"27 wk behind","Alaska",2023-04-15,"composite_curve","quantile",0.01,0
"82",2023,2023-10-21,"27 wk behind","Arizona",2023-04-15,"composite_curve","quantile",0.01,8.96
"83",2023,2023-10-21,"28 wk ahead","Alaska",2024-05-04,"composite_curve","quantile",0.01,0
"84",2023,2023-10-21,"28 wk ahead","Arizona",2024-05-04,"composite_curve","quantile",0.01,2.91
"85",2023,2023-10-21,"28 wk behind","Alaska",2023-04-08,"composite_curve","quantile",0.01,0
"86",2023,2023-10-21,"28 wk behind","Arizona",2023-04-08,"composite_curve","quantile",0.01,7.97
"87",2023,2023-10-21,"29 wk ahead","Alaska",2024-05-11,"composite_curve","quantile",0.01,0
"88",2023,2023-10-21,"29 wk ahead","Arizona",2024-05-11,"composite_curve","quantile",0.01,1.94
"89",2023,2023-10-21,"29 wk behind","Alaska",2023-04-01,"composite_curve","quantile",0.01,0
"90",2023,2023-10-21,"29 wk behind","Arizona",2023-04-01,"composite_curve","quantile",0.01,6.98
"91",2023,2023-10-21,"3 wk ahead","Alaska",2023-11-11,"composite_curve","quantile",0.01,0
"92",2023,2023-10-21,"3 wk ahead","Arizona",2023-11-11,"composite_curve","quantile",0.01,13.91
"93",2023,2023-10-21,"3 wk behind","Alaska",2023-09-30,"composite_curve","quantile",0.01,0
"94",2023,2023-10-21,"3 wk behind","Arizona",2023-09-30,"composite_curve","quantile",0.01,0
"95",2023,2023-10-21,"30 wk ahead","Alaska",2024-05-18,"composite_curve","quantile",0.01,0
"96",2023,2023-10-21,"30 wk ahead","Arizona",2024-05-18,"composite_curve","quantile",0.01,1.94
"97",2023,2023-10-21,"30 wk behind","Alaska",2023-03-25,"composite_curve","quantile",0.01,0
"98",2023,2023-10-21,"30 wk behind","Arizona",2023-03-25,"composite_curve","quantile",0.01,5
"99",2023,2023-10-21,"4 wk ahead","Alaska",2023-11-18,"composite_curve","quantile",0.01,0
"100",2023,2023-10-21,"4 wk ahead","Arizona",2023-11-18,"composite_curve","quantile",0.01,25.79
"101",2023,2023-10-21,"4 wk behind","Alaska",2023-09-23,"composite_curve","quantile",0.01,0
"102",2023,2023-10-21,"4 wk behind","Arizona",2023-09-23,"composite_curve","quantile",0.01,0
"103",2023,2023-10-21,"5 wk ahead","Alaska",2023-11-25,"composite_curve","quantile",0.01,0
"104",2023,2023-10-21,"5 wk ahead","Arizona",2023-11-25,"composite_curve","quantile",0.01,48.56
"105",2023,2023-10-21,"5 wk behind","Alaska",2023-09-16,"composite_curve","quantile",0.01,0
"106",2023,2023-10-21,"5 wk behind","Arizona",2023-09-16,"composite_curve","quantile",0.01,0
"107",2023,2023-10-21,"6 wk ahead","Alaska",2023-12-02,"composite_curve","quantile",0.01,0
"108",2023,2023-10-21,"6 wk ahead","Arizona",2023-12-02,"composite_curve","quantile",0.01,76.28
"109",2023,2023-10-21,"6 wk behind","Alaska",2023-09-09,"composite_curve","quantile",0.01,0
"110",2023,2023-10-21,"6 wk behind","Arizona",2023-09-09,"composite_curve","quantile",0.01,0.95
"111",2023,2023-10-21,"7 wk ahead","Alaska",2023-12-09,"composite_curve","quantile",0.01,0
"112",2023,2023-10-21,"7 wk ahead","Arizona",2023-12-09,"composite_curve","quantile",0.01,100.04
"113",2023,2023-10-21,"7 wk behind","Alaska",2023-09-02,"composite_curve","quantile",0.01,0
"114",2023,2023-10-21,"7 wk behind","Arizona",2023-09-02,"composite_curve","quantile",0.01,0.95
"115",2023,2023-10-21,"8 wk ahead","Alaska",2023-12-16,"composite_curve","quantile",0.01,0
"116",2023,2023-10-21,"8 wk ahead","Arizona",2023-12-16,"composite_curve","quantile",0.01,111.92
"117",2023,2023-10-21,"8 wk behind","Alaska",2023-08-26,"composite_curve","quantile",0.01,0
"118",2023,2023-10-21,"8 wk behind","Arizona",2023-08-26,"composite_curve","quantile",0.01,0
"119",2023,2023-10-21,"9 wk ahead","Alaska",2023-12-23,"composite_curve","quantile",0.01,0
"120",2023,2023-10-21,"9 wk ahead","Arizona",2023-12-23,"composite_curve","quantile",0.01,94.1
"121",2023,2023-10-21,"9 wk behind","Alaska",2023-08-19,"composite_curve","quantile",0.01,0
"122",2023,2023-10-21,"9 wk behind","Arizona",2023-08-19,"composite_curve","quantile",0.01,0.95
"123",2023,2023-10-28,"0 wk ahead","Alaska",2023-10-28,"composite_curve","quantile",0.01,0
"124",2023,2023-10-28,"0 wk ahead","Arizona",2023-10-28,"composite_curve","quantile",0.01,9.99
"125",2023,2023-10-28,"1 wk ahead","Alaska",2023-11-04,"composite_curve","quantile",0.01,0
"126",2023,2023-10-28,"1 wk ahead","Arizona",2023-11-04,"composite_curve","quantile",0.01,21.96
"127",2023,2023-10-28,"1 wk behind","Alaska",2023-10-21,"composite_curve","quantile",0.01,0
"128",2023,2023-10-28,"1 wk behind","Arizona",2023-10-21,"composite_curve","quantile",0.01,4.99
"129",2023,2023-10-28,"10 wk ahead","Alaska",2024-01-06,"composite_curve","quantile",0.01,0
"130",2023,2023-10-28,"10 wk ahead","Arizona",2024-01-06,"composite_curve","quantile",0.01,107.86
"131",2023,2023-10-28,"10 wk behind","Alaska",2023-08-19,"composite_curve","quantile",0.01,0
"132",2023,2023-10-28,"10 wk behind","Arizona",2023-08-19,"composite_curve","quantile",0.01,0
"133",2023,2023-10-28,"11 wk ahead","Alaska",2024-01-13,"composite_curve","quantile",0.01,0
"134",2023,2023-10-28,"11 wk ahead","Arizona",2024-01-13,"composite_curve","quantile",0.01,66.93
"135",2023,2023-10-28,"11 wk behind","Alaska",2023-08-12,"composite_curve","quantile",0.01,0
"136",2023,2023-10-28,"11 wk behind","Arizona",2023-08-12,"composite_curve","quantile",0.01,0
"137",2023,2023-10-28,"12 wk ahead","Alaska",2024-01-20,"composite_curve","quantile",0.01,0
"138",2023,2023-10-28,"12 wk ahead","Arizona",2024-01-20,"composite_curve","quantile",0.01,35.97
"139",2023,2023-10-28,"12 wk behind","Alaska",2023-08-05,"composite_curve","quantile",0.01,0
"140",2023,2023-10-28,"12 wk behind","Arizona",2023-08-05,"composite_curve","quantile",0.01,0
"141",2023,2023-10-28,"13 wk ahead","Alaska",2024-01-27,"composite_curve","quantile",0.01,0
"142",2023,2023-10-28,"13 wk ahead","Arizona",2024-01-27,"composite_curve","quantile",0.01,19.99
"143",2023,2023-10-28,"13 wk behind","Alaska",2023-07-29,"composite_curve","quantile",0.01,0
"144",2023,2023-10-28,"13 wk behind","Arizona",2023-07-29,"composite_curve","quantile",0.01,0
"145",2023,2023-10-28,"14 wk ahead","Alaska",2024-02-03,"composite_curve","quantile",0.01,0
"146",2023,2023-10-28,"14 wk ahead","Arizona",2024-02-03,"composite_curve","quantile",0.01,13.99
"147",2023,2023-10-28,"14 wk behind","Alaska",2023-07-22,"composite_curve","quantile",0.01,0
"148",2023,2023-10-28,"14 wk behind","Arizona",2023-07-22,"composite_curve","quantile",0.01,0
"149",2023,2023-10-28,"15 wk ahead","Alaska",2024-02-10,"composite_curve","quantile",0.01,0
"150",2023,2023-10-28,"15 wk ahead","Arizona",2024-02-10,"composite_curve","quantile",0.01,8.99
"151",2023,2023-10-28,"15 wk behind","Alaska",2023-07-15,"composite_curve","quantile",0.01,0
"152",2023,2023-10-28,"15 wk behind","Arizona",2023-07-15,"composite_curve","quantile",0.01,0
"153",2023,2023-10-28,"16 wk ahead","Alaska",2024-02-17,"composite_curve","quantile",0.01,0
"154",2023,2023-10-28,"16 wk ahead","Arizona",2024-02-17,"composite_curve","quantile",0.01,7.99
"155",2023,2023-10-28,"16 wk behind","Alaska",2023-07-08,"composite_curve","quantile",0.01,0
"156",2023,2023-10-28,"16 wk behind","Arizona",2023-07-08,"composite_curve","quantile",0.01,1.99
"157",2023,2023-10-28,"17 wk ahead","Alaska",2024-02-24,"composite_curve","quantile",0.01,0
"158",2023,2023-10-28,"17 wk ahead","Arizona",2024-02-24,"composite_curve","quantile",0.01,5
"159",2023,2023-10-28,"17 wk behind","Alaska",2023-07-01,"composite_curve","quantile",0.01,0
"160",2023,2023-10-28,"17 wk behind","Arizona",2023-07-01,"composite_curve","quantile",0.01,3
"161",2023,2023-10-28,"18 wk ahead","Alaska",2024-03-02,"composite_curve","quantile",0.01,0
"162",2023,2023-10-28,"18 wk ahead","Arizona",2024-03-02,"composite_curve","quantile",0.01,6
"163",2023,2023-10-28,"18 wk behind","Alaska",2023-06-24,"composite_curve","quantile",0.01,0
"164",2023,2023-10-28,"18 wk behind","Arizona",2023-06-24,"composite_curve","quantile",0.01,3.99
"165",2023,2023-10-28,"19 wk ahead","Alaska",2024-03-09,"composite_curve","quantile",0.01,0
"166",2023,2023-10-28,"19 wk ahead","Arizona",2024-03-09,"composite_curve","quantile",0.01,4
"167",2023,2023-10-28,"19 wk behind","Alaska",2023-06-17,"composite_curve","quantile",0.01,0
"168",2023,2023-10-28,"19 wk behind","Arizona",2023-06-17,"composite_curve","quantile",0.01,5
"169",2023,2023-10-28,"2 wk ahead","Alaska",2023-11-11,"composite_curve","quantile",0.01,0
"170",2023,2023-10-28,"2 wk ahead","Arizona",2023-11-11,"composite_curve","quantile",0.01,33.94
"171",2023,2023-10-28,"2 wk behind","Alaska",2023-10-14,"composite_curve","quantile",0.01,0
"172",2023,2023-10-28,"2 wk behind","Arizona",2023-10-14,"composite_curve","quantile",0.01,2.98
"173",2023,2023-10-28,"20 wk ahead","Alaska",2024-03-16,"composite_curve","quantile",0.01,0
"174",2023,2023-10-28,"20 wk ahead","Arizona",2024-03-16,"composite_curve","quantile",0.01,4
"175",2023,2023-10-28,"20 wk behind","Alaska",2023-06-10,"composite_curve","quantile",0.01,0
"176",2023,2023-10-28,"20 wk behind","Arizona",2023-06-10,"composite_curve","quantile",0.01,6
"177",2023,2023-10-28,"21 wk ahead","Alaska",2024-03-23,"composite_curve","quantile",0.01,0
"178",2023,2023-10-28,"21 wk ahead","Arizona",2024-03-23,"composite_curve","quantile",0.01,4
"179",2023,2023-10-28,"21 wk behind","Alaska",2023-06-03,"composite_curve","quantile",0.01,0
"180",2023,2023-10-28,"21 wk behind","Arizona",2023-06-03,"composite_curve","quantile",0.01,8.99
"181",2023,2023-10-28,"22 wk ahead","Alaska",2024-03-30,"composite_curve","quantile",0.01,0
"182",2023,2023-10-28,"22 wk ahead","Arizona",2024-03-30,"composite_curve","quantile",0.01,4
"183",2023,2023-10-28,"22 wk behind","Alaska",2023-05-27,"composite_curve","quantile",0.01,0
"184",2023,2023-10-28,"22 wk behind","Arizona",2023-05-27,"composite_curve","quantile",0.01,11.99
"185",2023,2023-10-28,"23 wk ahead","Alaska",2024-04-06,"composite_curve","quantile",0.01,0
"186",2023,2023-10-28,"23 wk ahead","Arizona",2024-04-06,"composite_curve","quantile",0.01,3.99
"187",2023,2023-10-28,"23 wk behind","Alaska",2023-05-20,"composite_curve","quantile",0.01,0
"188",2023,2023-10-28,"23 wk behind","Arizona",2023-05-20,"composite_curve","quantile",0.01,14.98
"189",2023,2023-10-28,"24 wk ahead","Alaska",2024-04-13,"composite_curve","quantile",0.01,0
"190",2023,2023-10-28,"24 wk ahead","Arizona",2024-04-13,"composite_curve","quantile",0.01,3.99
"191",2023,2023-10-28,"24 wk behind","Alaska",2023-05-13,"composite_curve","quantile",0.01,0
"192",2023,2023-10-28,"24 wk behind","Arizona",2023-05-13,"composite_curve","quantile",0.01,15.98
"193",2023,2023-10-28,"25 wk ahead","Alaska",2024-04-20,"composite_curve","quantile",0.01,0
"194",2023,2023-10-28,"25 wk ahead","Arizona",2024-04-20,"composite_curve","quantile",0.01,3
"195",2023,2023-10-28,"25 wk behind","Alaska",2023-05-06,"composite_curve","quantile",0.01,0
"196",2023,2023-10-28,"25 wk behind","Arizona",2023-05-06,"composite_curve","quantile",0.01,16.99
"197",2023,2023-10-28,"26 wk ahead","Alaska",2024-04-27,"composite_curve","quantile",0.01,0
"198",2023,2023-10-28,"26 wk ahead","Arizona",2024-04-27,"composite_curve","quantile",0.01,3
"199",2023,2023-10-28,"26 wk behind","Alaska",2023-04-29,"composite_curve","quantile",0.01,0
"200",2023,2023-10-28,"26 wk behind","Arizona",2023-04-29,"composite_curve","quantile",0.01,19.97
"201",2023,2023-10-28,"27 wk ahead","Alaska",2024-05-04,"composite_curve","quantile",0.01,0
"202",2023,2023-10-28,"27 wk ahead","Arizona",2024-05-04,"composite_curve","quantile",0.01,1
"203",2023,2023-10-28,"27 wk behind","Alaska",2023-04-22,"composite_curve","quantile",0.01,0
"204",2023,2023-10-28,"27 wk behind","Arizona",2023-04-22,"composite_curve","quantile",0.01,17.98
"205",2023,2023-10-28,"28 wk ahead","Alaska",2024-05-11,"composite_curve","quantile",0.01,0
"206",2023,2023-10-28,"28 wk ahead","Arizona",2024-05-11,"composite_curve","quantile",0.01,1.99
"207",2023,2023-10-28,"28 wk behind","Alaska",2023-04-15,"composite_curve","quantile",0.01,0
"208",2023,2023-10-28,"28 wk behind","Arizona",2023-04-15,"composite_curve","quantile",0.01,22.97
"209",2023,2023-10-28,"29 wk ahead","Alaska",2024-05-18,"composite_curve","quantile",0.01,0
"210",2023,2023-10-28,"29 wk ahead","Arizona",2024-05-18,"composite_curve","quantile",0.01,1.99
"211",2023,2023-10-28,"29 wk behind","Alaska",2023-04-08,"composite_curve","quantile",0.01,0
"212",2023,2023-10-28,"29 wk behind","Arizona",2023-04-08,"composite_curve","quantile",0.01,19.96
"213",2023,2023-10-28,"3 wk ahead","Alaska",2023-11-18,"composite_curve","quantile",0.01,0
"214",2023,2023-10-28,"3 wk ahead","Arizona",2023-11-18,"composite_curve","quantile",0.01,64.88
"215",2023,2023-10-28,"3 wk behind","Alaska",2023-10-07,"composite_curve","quantile",0.01,0
"216",2023,2023-10-28,"3 wk behind","Arizona",2023-10-07,"composite_curve","quantile",0.01,0.99
"217",2023,2023-10-28,"30 wk ahead","Alaska",2024-05-25,"composite_curve","quantile",0.01,0
"218",2023,2023-10-28,"30 wk ahead","Arizona",2024-05-25,"composite_curve","quantile",0.01,1
"219",2023,2023-10-28,"30 wk behind","Alaska",2023-04-01,"composite_curve","quantile",0.01,0
"220",2023,2023-10-28,"30 wk behind","Arizona",2023-04-01,"composite_curve","quantile",0.01,17.97
"221",2023,2023-10-28,"4 wk ahead","Alaska",2023-11-25,"composite_curve","quantile",0.01,0
"222",2023,2023-10-28,"4 wk ahead","Arizona",2023-11-25,"composite_curve","quantile",0.01,106.8
"223",2023,2023-10-28,"4 wk behind","Alaska",2023-09-30,"composite_curve","quantile",0.01,0
"224",2023,2023-10-28,"4 wk behind","Arizona",2023-09-30,"composite_curve","quantile",0.01,0
"225",2023,2023-10-28,"5 wk ahead","Alaska",2023-12-02,"composite_curve","quantile",0.01,0
"226",2023,2023-10-28,"5 wk ahead","Arizona",2023-12-02,"composite_curve","quantile",0.01,165.69
"227",2023,2023-10-28,"5 wk behind","Alaska",2023-09-23,"composite_curve","quantile",0.01,0
"228",2023,2023-10-28,"5 wk behind","Arizona",2023-09-23,"composite_curve","quantile",0.01,0
"229",2023,2023-10-28,"6 wk ahead","Alaska",2023-12-09,"composite_curve","quantile",0.01,0
"230",2023,2023-10-28,"6 wk ahead","Arizona",2023-12-09,"composite_curve","quantile",0.01,206.63
"231",2023,2023-10-28,"6 wk behind","Alaska",2023-09-16,"composite_curve","quantile",0.01,0
"232",2023,2023-10-28,"6 wk behind","Arizona",2023-09-16,"composite_curve","quantile",0.01,0
"233",2023,2023-10-28,"7 wk ahead","Alaska",2023-12-16,"composite_curve","quantile",0.01,0
"234",2023,2023-10-28,"7 wk ahead","Arizona",2023-12-16,"composite_curve","quantile",0.01,225.62
"235",2023,2023-10-28,"7 wk behind","Alaska",2023-09-09,"composite_curve","quantile",0.01,0
"236",2023,2023-10-28,"7 wk behind","Arizona",2023-09-09,"composite_curve","quantile",0.01,0
"237",2023,2023-10-28,"8 wk ahead","Alaska",2023-12-23,"composite_curve","quantile",0.01,0
"238",2023,2023-10-28,"8 wk ahead","Arizona",2023-12-23,"composite_curve","quantile",0.01,176.75
"239",2023,2023-10-28,"8 wk behind","Alaska",2023-09-02,"composite_curve","quantile",0.01,0
"240",2023,2023-10-28,"8 wk behind","Arizona",2023-09-02,"composite_curve","quantile",0.01,0
"241",2023,2023-10-28,"9 wk ahead","Alaska",2023-12-30,"composite_curve","quantile",0.01,0
"242",2023,2023-10-28,"9 wk ahead","Arizona",2023-12-30,"composite_curve","quantile",0.01,147.79
"243",2023,2023-10-28,"9 wk behind","Alaska",2023-08-26,"composite_curve","quantile",0.01,0
"244",2023,2023-10-28,"9 wk behind","Arizona",2023-08-26,"composite_curve","quantile",0.01,0
"245",2023,2023-11-04,"0 wk ahead","Alaska",2023-11-04,"composite_curve","quantile",0.01,7.99
"246",2023,2023-11-04,"0 wk ahead","Arizona",2023-11-04,"composite_curve","quantile",0.01,20.98
"247",2023,2023-11-04,"1 wk ahead","Alaska",2023-11-11,"composite_curve","quantile",0.01,9.96
"248",2023,2023-11-04,"1 wk ahead","Arizona",2023-11-11,"composite_curve","quantile",0.01,36.88
"249",2023,2023-11-04,"1 wk behind","Alaska",2023-10-28,"composite_curve","quantile",0.01,5.98
"250",2023,2023-11-04,"1 wk behind","Arizona",2023-10-28,"composite_curve","quantile",0.01,11.97
"251",2023,2023-11-04,"10 wk ahead","Alaska",2024-01-13,"composite_curve","quantile",0.01,0
"252",2023,2023-11-04,"10 wk ahead","Arizona",2024-01-13,"composite_curve","quantile",0.01,85.56
